Dive Code, Board, Dive Description, DD
6131B,75M,Armstand Forward 1 1/2 Somersault 1/2 Twist Pike,3.20
6131B,90M,Armstand Forward 1 1/2 Somersault 1/2 Twist Pike,4.00
6131C,60M,Armstand Forward 1 1/2 Somersault 1/2 Twist Tuck,2.40
6131C,75M,Armstand Forward 1 1/2 Somersault 1/2 Twist Tuck,2.90
6131C,90M,Armstand Forward 1 1/2 Somersault 1/2 Twist Tuck,3.70
6132D,60M,Armstand Forward 1 1/2 Somersault 1 Twist Free,3.70
6132D,75M,Armstand Forward 1 1/2 Somersault 1 Twist Free,4.40
6132D,90M,Armstand Forward 1 1/2 Somersault 1 Twist Free,5.00
6133D,60M,Armstand Forward 1 1/2 Somersault 1 1/2 Twist Free,3.40
6133D,75M,Armstand Forward 1 1/2 Somersault 1 1/2 Twist Free,4.10
6133D,90M,Armstand Forward 1 1/2 Somersault 1 1/2 Twist Free,4.80
6134D,60M,Armstand Forward 1 1/2 Somersault 2 Twist Free,4.10
6134D,75M,Armstand Forward 1 1/2 Somersault 2 Twist Free,4.80
6134D,90M,Armstand Forward 1 1/2 Somersault 2 Twist Free,5.40
6142D,5M,Armstand Forward 2 Somersault 1 Twist Free,3.20
6142D,7M,Armstand Forward 2 Somersault 1 Twist Free,3.00
6142D,10M,Armstand Forward 2 Somersault 1 Twist Free,3.10
6144D,5M,Armstand Forward 2 Somersault 2 Twist Free,3.50
6144D,7M,Armstand Forward 2 Somersault 2 Twist Free,3.30
6144D,10M,Armstand Forward 2 Somersault 2 Twist Free,3.40
6151B,60M,Armstand Forward 2 1/2 Somersault 1/2 Twist Pike,3.20
6151B,75M,Armstand Forward 2 1/2 Somersault 1/2 Twist Pike,3.90
6151B,90M,Armstand Forward 2 1/2 Somersault 1/2 Twist Pike,4.60
6151C,60M,Armstand Forward 2 1/2 Somersault 1/2 Twist Tuck,2.90
6151C,75M,Armstand Forward 2 1/2 Somersault 1/2 Twist Tuck,3.60
6151C,90M,Armstand Forward 2 1/2 Somersault 1/2 Twist Tuck,4.30
6152B,60M,Armstand Forward 2 1/2 Somersault 1 Twist Pike,4.80
6152B,75M,Armstand Forward 2 1/2 Somersault 1 Twist Pike,5.50
6152B,90M,Armstand Forward 2 1/2 Somersault 1 Twist Pike,6.20
6152C,60M,Armstand Forward 2 1/2 Somersault 1 Twist Tuck,4.60
6152C,75M,Armstand Forward 2 1/2 Somersault 1 Twist Tuck,5.30
6152C,90M,Armstand Forward 2 1/2 Somersault 1 Twist Tuck,6.00
6153D,60M,Armstand Forward 2 1/2 Somersault 1 1/2 Twist Free,3.90
6153D,75M,Armstand Forward 2 1/2 Somersault 1 1/2 Twist Free,4.60
6153D,90M,Armstand Forward 2 1/2 Somersault 1 1/2 Twist Free,5.30
6154D,60M,Armstand Forward 2 1/2 Somersault 2 Twist Free,5.10
6154D,75M,Armstand Forward 2 1/2 Somersault 2 Twist Free,5.80
6154D,90M,Armstand Forward 2 1/2 Somersault 2 Twist Free,6.50
6162C,10M,Armstand Forward 3 Somersault 1 Twist Tuck,3.90
6211A,1M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00
6211A,3M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00
6211A,5M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00
6211A,7M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00
6211A,10M,Armstand Back 1/2 Somersault 1/2 Twist Straight,1.00
6221D,5M,Armstand Back 1 Somersault 1/2 Twist Free,1.60
6221D,7M,Armstand Back 1 Somersault 1/2 Twist Free,1.70
6221D,10M,Armstand Back 1 Somersault 1/2 Twist Free,1.80
6223D,5M,Armstand Back 1 Somersault 1 1/2 Twist Free,2.50
6231D,60M,Armstand Back 1 1/2 Somersault 1/2 Twist Free,2.90
6231D,75M,Armstand Back 1 1/2 Somersault 1/2 Twist Free,3.60
6231D,90M,Armstand Back 1 1/2 Somersault 1/2 Twist Free,4.30
6232D,5M,Armstand Back 1 1/2 Somersault 1 Twist Free,2.80
6232D,60M,Armstand Back 1 1/2 Somersault 1 Twist Free,2.60
6232D,75M,Armstand Back 1 1/2 Somersault 1 Twist Free,3.30
6232D,90M,Armstand Back 1 1/2 Somersault 1 Twist Free,4.00
6235D,60M,Armstand Back 1 1/2 Somersault 2 1/2 Twist Free,3.80
6235D,75M,Armstand Back 1 1/2 Somersault 2 1/2 Twist Free,4.50
6235D,90M,Armstand Back 1 1/2 Somersault 2 1/2 Twist Free,5.20
6241B,5M,Armstand Back 2 Somersault 1/2 Twist Pike,2.80
6241B,7M,Armstand Back 2 Somersault 1/2 Twist Pike,2.60
6241B,10M,Armstand Back 2 Somersault 1/2 Twist Pike,2.70
6241C,5M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.50
6241C,7M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.30
6241C,10M,Armstand Back 2 Somersault 1/2 Twist Tuck,2.40
6241D,5M,Armstand Back 2 Somersault 1/2 Twist Free,2.50
6241D,7M,Armstand Back 2 Somersault 1/2 Twist Free,2.30
6241D,10M,Armstand Back 2 Somersault 1/2 Twist Free,2.40
6243D,5M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.30
6243D,7M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.10
6243D,10M,Armstand Back 2 Somersault 1 1/2 Twist Free,3.20
6245D,5M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.70
6245D,7M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.50
6245D,10M,Armstand Back 2 Somersault 2 1/2 Twist Free,3.60
6247D,10M,Armstand Back 2 Somersault 3 1/2 Twists Free,4.00
6251B,60M,Armstand Back 2 1/2 Somersault 1/2 Twist Pike,4.00
6251B,75M,Armstand Back 2 1/2 Somersault 1/2 Twist Pike,4.60
6251B,90M,Armstand Back 2 1/2 Somersault 1/2 Twist Pike,5.40
6251C,60M,Armstand Back 2 1/2 Somersault 1/2 Twist Tuck,3.50
6251C,75M,Armstand Back 2 1/2 Somersault 1/2 Twist Tuck,4.10
6251C,90M,Armstand Back 2 1/2 Somersault 1/2 Twist Tuck,4.90
6252B,60M,Armstand Back 2 1/2 Somersault 1 Twist Pike,3.50
6252B,75M,Armstand Back 2 1/2 Somersault 1 Twist Pike,4.10
6252B,90M,Armstand Back 2 1/2 Somersault 1 Twist Pike,4.90
6252C,60M,Armstand Back 2 1/2 Somersault 1 Twist Tuck,3.20
6252C,75M,Armstand Back 2 1/2 Somersault 1 Twist Tuck,3.80
6252C,90M,Armstand Back 2 1/2 Somersault 1 Twist Tuck,4.60
6253D,60M,Armstand Back 2 1/2 Somersault 1 1/2 Twist Free,4.60
6253D,75M,Armstand Back 2 1/2 Somersault 1 1/2 Twist Free,5.30
6253D,90M,Armstand Back 2 1/2 Somersault 1 1/2 Twist Free,6.00
6254D,60M,Armstand Back 2 1/2 Somersault 2 Twist Free,4.10
6254D,75M,Armstand Back 2 1/2 Somersault 2 Twist Free,4.80
6254D,90M,Armstand Back 2 1/2 Somersault 2 Twist Free,5.50
6261B,5M,Armstand Back 3 Somersault 1/2 Twist Pike,3.60
6261B,7M,Armstand Back 3 Somersault 1/2 Twist Pike,3.20
6261B,10M,Armstand Back 3 Somersault 1/2 Twist Pike,3.40
6261C,5M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.40
6261C,7M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.00
6261C,10M,Armstand Back 3 Somersault 1/2 Twist Tuck,3.20
6263B,10M,Armstand Back 3 Somersault 1 1/2 Twists Pike,4.20
6263C,10M,Armstand Back 3 Somersault 1 1/2 Twists Tuck,4.00
6265B,10M,Armstand Back 3 Somersault 2 1/2 Twists Pike,4.60
6265C,10M,Armstand Back 3 Somersault 2 1/2 Twists Tuck,4.40
51101B,60M,Forward 5 Somersaults 1/2 Tw Pike,5.00
51101B,75M,Forward 5 Somersaults 1/2 Tw Pike,5.50
51101B,90M,Forward 5 Somersaults 1/2 Tw Pike,6.10
51101C,60M,Forward 5 Somersaults 1/2 Tw Tuck,4.70
51101C,75M,Forward 5 Somersaults 1/2 Tw Tuck,5.20
51101C,90M,Forward 5 Somersaults 1/2 Tw Tuck,5.70
51141B,60M,Forward Flying 2 Somersault 1/2 Tw Pike,2.70
51141B,75M,Forward Flying 2 Somersault 1/2 Tw Pike,3.20
51141B,90M,Forward Flying 2 Somersault 1/2 Tw Pike,3.80
51141C,60M,Forward Flying 2 Somersault 1/2 Tw Tuck,2.60
51141C,75M,Forward Flying 2 Somersault 1/2 Tw Tuck,3.10
51141C,90M,Forward Flying 2 Somersault 1/2 Tw Tuck,3.60
51161B,60M,Forward Flying 3 Somersault 1/2 Tw Pike,3.60
51161B,75M,Forward Flying 3 Somersault 1/2 Tw Pike,4.10
51161B,90M,Forward Flying 3 Somersault 1/2 Tw Pike,4.70
51161C,60M,Forward Flying 3 Somersault 1/2 Tw Tuck,3.40
51161C,75M,Forward Flying 3 Somersault 1/2 Tw Tuck,3.90
51161C,90M,Forward Flying 3 Somersault 1/2 Tw Tuck,4.40
